job_title,company_name,company_locations,company_states,job_types,post_dates,salary,job_desc,job_req,skills,exp_lvl
Full Stack Developer,Revnology PLT,Petaling Jaya,Selangor,Full-Time,2 months ago,RM3000 - RM8000,#NAME?,"- Minimum a degree in Computer Science, Information Technology, Software Engineering or similar field.
- Strong knowledge and minimum 1 years experience with NodeJS technology with frameworks like ExpressJS, SocketIO, SailsJS, MeteorJS, AdonisJS, etc
- Familiar with REACT tools and front-end languages including ReactJS, NextJS Webpack, Redux, Redux Saga, ES6, JSX, Git, REST API, Javascript, CSS and HTML is a plus.
- Self-motivated team player, excellent communication and interpersonal skills.","
Node.js
React.js
Next.js
PHP Development
JavaScript (Programming Language)
React Native",1 - 2 Years of Experience
Research & Development (R&D) Executive,IFV GROUP SDN BHD,Subang Jaya,Selangor,Full-Time,17 days ago,Undisclosed,"Job Scopes:
Product Development & Innovation
 To develop new products, starting from idea creation to ingredient sourcing, packaging sourcing, equipment sourcing, prototype development, trial run, sampling preparation, and food styling presentation.
 To create and maintain proper R&D system, data analysis and storage, and documentation.
 To develop strategies to strengthen suppliers, quality, and innovation on the application of culinary and food science knowledge in both internal operations and outsourced partners.","An OPEN mind and a YOUNG heart 
Major in Food Science / Food Technology / Culinology / Culinary Arts or equivalent field
Proficiency in Microsoft Office Suite (Outlook, Word, Excel & PowerPoint)
Good written and verbal communication skills
Resourceful and strong in analysis and execution
Strong sense of time organization and ability to meet deadlines
Independent, highly driven, and self-motivated
A multi-tasker, proactively seeks out opportunities to support the team and a can-do and follow through attitude","
Creativity
Communications",#NoExperienceNeeded
Web Application Developer (PHP)- Junior / Senior,Inmagine,Petaling Jaya,Selangor,Full-Time,17 days ago,Undisclosed,"A spark of creative imagination, coupled with the magic of coding - we have many IT wizards in the house, and now we’re looking for some extra hands to take 123RF to the next level! They will be someone who live and breathe web app development, who can understand how different systems work, and stitch them together to build our ideal ecosystem. Do you have what it takes?

The Job:
Assist in software system (software), system architectural design (hardware) and physical and logical database design (database).","The Person:
Possesses at least a Bachelor's Degree from reputable academic institutions, with specialization in IT/Software Development discipline.
Possesses at least 2 years (Executive Level) / 5 years (Senior Level) of professional experience in (PHP) web development.
Strong Knowledge of PHP, MySQL, HTML5, JavaScript, Bootstrap and CSS3.
Experience in developing web applications with Laravel/Lumen framework.
Knowledge of ReactJS, Elasticsearch, NodeJS & AWS will be an added advantage.
Possesses strong technical and analytical knowledge in web development.","
PHP Development
MySQL
HTML5
Laravel
Bootstrap (Front-End Framework)
JavaScript (Programming Language)",#NoExperienceNeeded
"Assistant, Sales & Credit Admin",SkyWorld Development Berhad,Jalan Ampang Putra,Kuala Lumpur,Full-Time,13 hours ago,Undisclosed," Job Description:-
To liaise with Sales & Marketing department, Solicitors, Purchasers, End-financiers for sales documents, loan documents, billing, and collection.
To liaise with Finance pertaining redemption sums, payments and reports.
To execute all sales administration and credit control functions in accordance with the terms and conditions of the Sale Purchase Agreement and Standard Operating Procedure of the company in order to achieve high level of operational work efficiency and customer satisfaction.
To update and key in purchasers' information into the developer system.","Job Requirement:-
Diploma / Bachelor Degree in Banking, Finance, Business or related course.
1 to 3 years of relevant experience will be advantage.
Fresh graduate is welcoming to apply.","
Microsoft Office
Teamwork
Communications",1 - 3 Years of Experience
Business Development Manager,Omni AAA (M) Sdn Bhd,Publika,Kuala Lumpur,Full-Time,3 months ago,RM5000 - RM8000,"Develop and implement strategic marketing and sales plans 
Maintain strong relationship with network leaders
Formulate, organize, and develop marketing activities by identifying the MLM trend and new market opportunities 
Manage overall sales and activities that includes market research, sales presentations, analysis of sales and marketing trends, advertising, and marketing promotional events. ","Malaysian with at least a degree in any major
5 years or above working experience in MLM industry
Fluent in Bahasa Malaysia, English and Chinese writing and speaking
Familiar with Microsoft Office and PPT presentation
Strong capability of communication with team and distributors
Dynamic personality with good team spirit
Strong market analysis, marketing and promotion, good interpersonal communication, coordination, analysis and problem-solving skills
Strong sense of professionalism and good work attitude, full of passion and enthusiasm",,4 - 7 Years of Experience
"Executive, Property Management (Fresh Graduate)",SkyWorld Development Berhad,Ampang,Selangor,Full-Time,4 days ago,Undisclosed,"Job Description:-
Product development - working with PMO to develop product that is leasable with higher return of equity and sustainable.
Building management - Well maintain building, equipment, and effective operations with optimum opex.
Carpark Operations - Minimize system downtime and effective operations with optimum opex. ","Job Requirement:-
Bachelor Degree in Building and Property Management or relevant field.
Able to work on weekend if required.
Own transport – able to be mobilize to visit site when required.
Able to handle and manage service providers performance.
Fresh graduate are welcoming.","
Operations Management",10 - 20 Years of Experience
Business Development Executive,ParkIt,Pacific Place @ Ara Damansara,Selangor,Full-Time,3 months ago,Undisclosed,"Maintain a good relationship with pre-existing clients
Attend client’s enquiry
Market ParkIt’s products and services and source for leads
Convert these leads into deals
Be responsible to obtain the right price / margin for the Company when closing a deal
Analyse and escalate client queries, issues and/or concerns, where appropriate
Collect user feedback on existing and future iterations of the product and feature rollouts
General sourcing administrative work ","Fresh graduates are encouraged to apply! Training will be provided. However, it is preferred if you posses some of the following skills already: 
Bachelor degree or higher preferred
Basic knowledge of Sales and Marketing
Tech-savvy
Ability to multitask, keep up with large volumes of inquiries in a fast-paced environment
Superior analytical skills and excellent judgement
Ability to multitask, keep up with large volumes of transactions in a fast-paced environment","
Business Communication
Persuasive Communication
Sales
Time Management
Teamwork
Organizational 
Problem Solving
Creative Thinking",2 - 3 Years of Experience
Marketing & Ecommerce Executive,Dry Cut Development Sdn Bhd,Kepong,Kuala Lumpur,Full-Time,4 days ago,RM2200 - RM7000,"Achieve monthly online sales target provided by company.
A working knowledge of major social media channels including Instagram, Facebook and Google Plus to manage ad campaigns on relevant social media platforms
Responsible for digital communication through social media platforms.
Support with regular competitor and sales analysis for Singapore market and study new e-commerce trends on a regular basis.
Conceive and develop efficient and intuitive marketing strategies
Organize Retail & Online monthly promotional events
Assist in carrying out Marketing campaigns and social media strategies with a strong focus and understanding of the platforms needs","Diploma / Degree in Graphic Design,Marketing, Business, Mass Communications or related discipline.
Fresh Graduates are welcome or Minimum 1-2 years of relevant work experience.
Must be communicate with fluent English and Mandarin.
Must be Familiar with the beauty (Skincare & Haircare) industry and able to adjust with the changing trends of social media and digital trends.
Positive thinking individual who is able to proactively contribute to the company’s goals.
Good organizational and time management skills.
Good communications and presentation skill
Creativity and commercial awareness.","
Adobe Photoshop
Adobe Illustrator
E-Commerce
Online Marketing
Online Advertising
E-Marketing
Graphic Design
Social Media Management
Social Media",1 - 5 Years of Experience
Full Stack Developer (MERN),Inmagine,Kelana Jaya,Selangor,Full-Time,a month ago,Undisclosed,"If you know what MERN means just by looking at it, then you are one step closer to what we are looking for. A full stack web development opportunity with INMAGINE will empower you to design, develop, test, deploy, maintain & improve software and processes for our websites. Besides that, you’ll get to collaborate with the product team to brainstorm ideas and drive business decisions.

The Job:
Design, develop, test, deploy, maintain & improve software and processes for the websites.
Collaborate with the Product teams and Project Owners on the various implementation, design and launch of new features for the website/system.","The Person:
Possesses at least a Bachelor Degree in Information Technology/Computer Science/Computer Studies or equivalent.
At least 5-6 years of experience in both front-end and back-end development.
Proficient understanding in both front-end and back-end development, as well as in:
     1. MERN stack (MongoDB, Express, React.js, Node.js)
     2. MySQL
     3. Javascript Framework (e.g. Nestjs, Nextjs)",,1 - 3 Years of Experience
Software Developer (C# & Node.js),Agmo Studio Sdn Bhd,Petaling Jaya,Selangor,Full-Time,,RM4000 - RM7000,"We’re looking for a C# .NET & Node.js Developer to join our growing team in Malaysia. The role is a unique opportunity to build robust, scalable, and error-free integration with a variety of partners and providers, so our customers can use the mobile solution with minimal fuss and maximum confidence. 

Your mission:
Build robust and scalable mobile solution","Diploma/Advanced/Higher/Graduate Diploma, Bachelor's Degree/Post Graduate Diploma/Professional Degree ",,1 - 3 Years of Experience
Web Developer,iZyoo Platform Sdn Bhd,Cheras,Kuala Lumpur,Full-Time,18 days ago,Undisclosed," You will play an important role in:
Determines operational feasibility by evaluating analysis, problem definition, requirements, solution development, and proposed solutions.
Documents and demonstrates solutions by developing documentation, flowcharts, layouts, diagrams, charts, code comments and clear mode.
Prepares and installs solutions by determining and designing system specifications, standards and programming.
Improve operations by conducting systems analysis; recommending changes in policies and procedures.
Obtains licenses software by obtaining required information from vendors; recommending purchases; testing and approving products.
Updates job knowledge by studying state of the art development tools, programming techniques, and computing equipment; participating in educational opportunities; reading professional publications; maintaining personal network; participating in professional organizations."," Here’s what we need from you:
At least 1- 5 years of experience in Web Development with a Bachelor's or higher degree in Computer Science, Information Technology or related fields.  
Fresh graduates are welcome to apply. 
Strong analytical and logical skills.
Possess advanced knowledge in PHP, MySQL, AJAX, REST API, SOAP, HTML, JavaScript, CSS.
Understanding of MVC design and implementation patterns.","
PHP (Scripting Language)
Ajax (Programming Language)
REST API Development
Simple Object Access Protocol (SOAP)
HyperText Markup Language (HTML)
JavaScript (Programming Language)
Cascading Style Sheets (CSS)",10 - 20 Years of Experience
Web Developer,Trinity42 Digital Sdn. Bhd.,Bandar Sunway,Selangor,Full-Time,19 days ago,RM3500 - RM5000,"Develop websites from scratch with web programming languages, content management systems or eCommerce platforms.
Integrate data from various back-end services, databases & 3rd party applications.
Developing or validating test routines and schedules to ensure that test cases mimic external interfaces and address all browser and device types.
Organizing website visual and text content, and directing team members who produce content.
Maintaining,understanding and sharing of the latest web applications and programming practices through education, study, and participation in conferences, workshops, and groups.
Directing or performing website updates.","Bachelor's degree in web development/ IT/ Computer Science or related field, or relevant experience.
Minimum 1 year of working experience in Web Development.
Solid knowledge and experience in programming applications.
Proficient in:
JavaScript
HTML
CSS
Web API","
JavaScript (Programming Language)
HyperText Markup Language (HTML)
Web Development
Cascading Style Sheets (CSS)",1 - 3 Years of Experience
PHP Developer,Whitebean Sdn Bhd,Bangsar South,Kuala Lumpur,Full-Time,a month ago,RM5000 - RM8000,"Responsibilities:
- Design and develop web applications in PHP
- Involve in full web application development lifecycle including: requirement analysis, system design, development, testing, implementation and support.
- Conduct research and development in related areas
- To maintain and enhance existing project ","Requirements:
- Candidate must possess at least a Bachelor's Degree, Post Graduate Diploma, Professional Degree, Computer Science/Information Technology or equivalent.
- Required Skill(s): PHP, Ajax, HTML5, CSS, Java Script, MySQL, MongoDB
- Advantageous skills: Familiar with PHP Frameworks: SLIM, Lumen, Apiato, Wordpress Customisation, Experience with Online Game
- Self-reliant, independent and ability to perform research of technologies & methodologies in developing solutions.
- At least 1 year(s) of working experience in the related field is required for this position.
- A total of 2 vacancies are available for both permanent and contracted placement with renewable arrangement. ","
PHP Development
HTML5
Cascading Style Sheets (CSS)
MySQL
JavaScript (Programming Language)
MongoDB",#NoExperienceNeeded
Senior Full-Stack Developer,Dropee,"Sunway GEO Avenue, Bandar Sunway",Selangor,Full-Time,19 days ago,RM6000 - RM9000,"Design, develop, and maintain front-end and back-end coding and services.
Liaise with the leadership team and head of development to define and prioritize Dropee’s product features.
Collaborate with product managers, designers and other developers to design functionality and develop robust and quality code in alignment to the business and user requirements.
Keep abreast with latest methodologies, applications, and technologies to continuously improve the efficiency and effectiveness for both front-end and back-end services.
Understand and align coding to security and data standards to ensure code quality and integrity is well-maintained.
Review, monitor, and test code, front-end and back-end services on Dropee’s platform and applications to optimize performance.","5-7 years of experience in PHP (Laravel), MYSQL, Bootstrap and NuxtJs.
Bachelor’s Degree in Computer Science, IT, engineering, Mathematics, Statistics, or equivalent.","
Analytical 
Troubleshooting (Problem Solving)
Full Stack Development",#NoExperienceNeeded
Front End Developer,Involve Asia,Menara MBMR,Kuala Lumpur,Full-Time,20 days ago,Undisclosed,"Develop new user facing features
Write reusable code and libraries
Enhance application for maximum speed and scalability
Validate input before submitting to back end
Collaborate with team members and stakeholder
Bridge the gap between graphic design and technical implementation
Define how the application looks and how it works
Translate UI/UX design wireframes (from Figma) to actual code","Know how to use code versioning tools, such as Git.
Knowledge in HTML, CSS (sass), JavaScript and jQuery.
Knowledge in frontend framework such as Vue.
Knowledge in building responsive design.
Familiar with browser testing and debugging. (Developer Console)
Can code pixel to pixel with design provided.
Can follow theming / design guidelines.
Experience with Laravel Blade template is a plus.",,1 - 3 Years of Experience
Software Developer,KLK Berhad,Ipoh,Perak,Full-Time,,Undisclosed,"Work with a team in system study, design and program coding.
Develop applications on Microsoft . NET Framework (Both Web and Desktop Application).
Write reports using tools as Crystal Report.
Maintain off-the-shelf and existing in-house developed systems.
Responsible to do program testing, debugging, deployment and on-site user training.
Able to comply and follow all procedures within the company security policy.","Candidate must possess at least Bachelor’s Degree Computer Science/ Information Technology or equivalent from recognized university.
At least 2 years’ work experience in developing web application/ web API with .Net Core 2.0 or later version.
Knowledge of Blazor web framework, Angular, Vue and React is preferred.
Knowledge of front-end skills JavaScript, CSS3, HTML5, etc.
Working knowledge of Android app development is an added advantage.
Possess working experience in MS SQL Server.
Good report writing experience using Crystal Report.
Motivated, self-starter and one who loves programming.",,10 - 20 Years of Experience
Senior Web Developer,ISJ Technology Sdn Bhd,Bandar Sunway,Selangor,Full-Time,2 months ago,RM3000 - RM15000,"Job Responsibilities & Description
Research and develop new features for In-house system.
Develop middleware for third party games data, payment systems, user experience validation and third party application integration. ","Requirements
Candidate must possess at least a Bachelor's Degree, Post Graduate Diploma, Professional Degree, Computer Science/Information Technology, Engineering (Computer/Telecommunication) or equivalent.
Required skill(s): PHP, NodeJS, Golang, C#, Java, Ruby and Python.
Hands on experience or knowledge with API like RESTful API and gPRC
Good command of written and spoken English & Mandarin
At least 3 year(s) of working experience in the related field is required for this position.","
Software Development
Web Development
Computer Science
C++ (Programming Language)
PHP (Scripting Language)
Node.js
Java (Programming Language)
Ruby (Programming Language)
Python (Programming Language)
RESTful API",1 - 3 Years of Experience
Business Development Manager,CookX Asia Sdn Bhd,Petaling Jaya,Selangor,Full-Time,2 months ago,RM5000 - RM8000,"The Manager will undertake or participate in the undertaking of the following activities:
Proactively research and identify new business opportunities. 
Generate new leads through prospecting, calling, networking and referrals.
Prepare presentations, proposals and contracts as needed.
Close new business deals by coordinating requirements, developing and negotiating contracts.
Maintain strong relationships with the existing Creator-Partners.
Provide ideas to attract new customer and keep Senior Management updated on marketplace and competitor activity.","Bachelor’s degree in Business, Marketing, Communications, or related field
Strong interpersonal and sales skills 
Advanced presentation and persuasive skills
Strategic thinker and team player to contribute to company’s growth and success in a competitive market
Emboldened by challenges
Ability to work well under pressure
Prior experience in F&B industry would be an advantage ","
Presentation 
Sales
Interpersonal Communications
Strategic Thinking
Persuasive Communication
Goal-Oriented",1 - 5 Years of Experience
Business Development Senior Associate/ Associate,Lifetech Solutions Sdn Bhd,"8 Suria, Unit 33, Jalan Pju 1/42, 47301,Petaling, Selangor",Selangor,Full-Time,,Undisclosed,"Business Development Associate
Develop account strategies, account plans, and communicate such plans to the Business Unit’s Management, pre-sales, staffing and support team members.
Recommend which opportunities to pursue providing guidance founded on tangible criteria such as highest probability of winning, profit potential and competitive pressures.
Identify potential leads through networking, cold calling, e-mailing, trade shows, marketing events, leveraging social media and/or other sources and develop relationships with potential buyers through personal meetings, presentations, speaking engagements, and/or other business or social gatherings.","What we are looking for: 
Bachelor’s degree in disciplines such as Information Technology, Business Studies, Economics, Marketing, or equivalent. 
Minimum 3 years of experience in sales or business development preferred 
Possess exceptional interpersonal and problem-solving skills
Excellent communication skills with a flair for presentations
Ability to speak and write English fluently
Proficient in Word, Excel, Outlook and Power Point. ",,1 - 8 Years of Experience
Software Engineer/Software Developer,Metriqa Sdn Bhd,"Wisma UOA Center, 19 Jalan Pinang, 50450 Kuala Lumpur",Kuala Lumpur,Full-Time,2 months ago,RM4000 - RM6000,"Analyse, Develop, Improve and support in-house products and services
Provide effective maintenance and support services to our clients
Possess ability to respond promptly against any critical issues relating to the Company’s supported systems at all times
Produce technical and development documentation
Perform system design and requirements specification analysis
Perform system installation and deployment
Research on new technologies to create innovative and complex products","Knowledge of the following :
Operating System: Windows, Linux
Programming Language: Java
Database:MS SQL Server (SSIS, SSRS), Postgres
Familiarity with GWT, OpenAM, Apache Tomcat, SVN, Bugzilla, Jira is a plus
Experience in SQL and batch scripting will be an added advantage
Adherence to SDLC best practices","
Java (Programming Language)
SQL (Programming Language)
Microsoft SQL Servers
SQL Server Integration Services (SSIS)
Batch Scripting
Linux
Apache Tomcat
Gwt 2.4",4 - 7 Years of Experience
Intermediate Full Stack Developer,Tinkerve LLP,Old Klang Road,Kuala Lumpur,Full-Time,,RM5000 - RM8000,"Design, develop, deploy and maintain existing and upcoming software systems according to the requirements of our clients.
Identify requirements, develop prototypes, and deliver solutions that directly provide value to the business.
Collaborate with your peers on the team on the design, implementation and architecture of the software system.
Ensure that the code produced is of quality via employing unit tests and participating in the code review process with your peers.
Actively contribute to the documentation during development and implementation of the features.","at least 1-3 years experience in full stack web development
Experience with MERN stack (MongoDB, Express, React, Node.js).
Experience with code versioning tools such as Git, SVN or Mercurial and their workflow.
Solid understanding of HTTP and RESTful JSON Api.
Experience working with UNIX/Linux environment is an added advantage.
Familiarity with Typescript is an added advantage.
Experience working with docker is an added advantage.",,#NoExperienceNeeded
Business Development Executive,EBRIC (MALAYSIA) SDN BHD,Petaling Jaya,Selangor,Full-Time,2 months ago,RM3800 - RM4500,"Develop and establish a strong rapport with assigned market/industry. Identify & formulate ideas to bring value to targeted sector with our solution. 
Establish new relationship with industry enterprises to generate additional sales opportunities and develop different business solutions for such industry. 
Observe and research existing players in the specific industry and develop business opportunities for asset onboarding.
Responsible for driving business and achieving monthly targets to contribute to company's growth. 
Gather business intelligence within the marketplace to improve the company's position, not only on specific deals but strategically within the industry as well. ","1 - 3 years of working experience in customer facing roles (Business Development/Relationship Management/Customer Success). 
Bachelor’s Degree in Business, Psychology or any other related courses. 
Strong analytical and critical thinking alongside familiarity with major financial technology platform. 
Agile & flexible, growth in a fast-paced environment, the ability to execute strategy fast & adapt to new changes based on data is critical. 
Proficient in English with excellent writing & presentation skills . 
Proficient in English, Mandarin and Bahasa Malaysia. (Foreign language/dialect is a plus point) 
Attentive listener, understanding, empathetic and resourceful. 
Computer literate in Microsoft Suite (Powerpoint).","
Analytical 
Problem Solving
Public Speaking
Attitude Control
Resourcefulness",4 - 7 Years of Experience
Senior Java Developer,Colexcel Solutions Sdn Bhd,Bukit Bintang,Kuala Lumpur,Full-Time,2 months ago,RM7000 - RM15000,"Participate in the software architecture (specification analysis, technical studies, technology assessment, etc.).
Design and code autonomously complex functions and full modules, within agreed quality, deadline and cost. 
Coach less experienced software developers. 
Perform code reviews and basic troubleshooting, Participate in workshop with customer & External parties.
Uses programming, scripting, and/or database languages to write software code that meet requirements and that optimize software performance. 
Identifies existing software components/libraries/frameworks to reuse in the solutions. 
Applies knowledge of software development best practices, including coding standards, secure coding, code reviews, source control management, build processes, testing, and operations.","At least 3 year experience in Spring Boot Framework and familiar with Spring JPA/Hibernate, Spring REST, Maven, Java Stream API, Spring Cloud, etc.
Ideally candidate should be familiar with open source technologies like Docker, Kubernetes, kafka, Drools, Elasticstack, etc.
Experience in Linux and Windows environment and scripting will be an added advantage.
Knowledge on DevSecOps process and different tools (Jira, Git, Jenkins, etc.).
Knowledge of security and database.
UI/UX awareness.
English fluent in both oral and written.","
Java (Programming Language)
Spring Boot
Spring Framework
DevOps
Microservices
Spring Cloud
JavaScript (Programming Language)",1 - 3 Years of Experience
Business Development Manager,The Elite Elevators SDN BHD,kuala lumpur,Kuala Lumpur,Full-Time,2 months ago,RM5000 - RM6000,"About us:
Elite Elevators is a Home Elevators Company based in Kuala Lumpur, Malaysia. We are providing Home Lifts, Residential Elevators for Small houses, Villas, Bungalows, Buildings, and Luxury Homes all over Kuala Lumpur. In a short span of time, Elite Elevators have established itself as the #1 Home Elevator Company in Kuala Lumpur. Our residential elevators are manufactured by TKE Access Solutions, in a special facility in Pisa, Italy &amp; follow European Standards of Home Lifts.

Our commitment to our clients is to provide a residential lift that they can rely on to improve their lifestyle while adding value to their homes; this is from a functional and aesthetical perspective. As of 2022, we clocked 1000+ employees spread across 10 countries.","Driving License: Mandatory
Qualification: Graduation/Post Graduation
Should possess excellent communication skills,
Should be Fluent in English and Mandarin
Min years 2 to 5 years of experience (B2C preferable)
Any industry","
Sales
Business-To-Consumer
Salesforce
Business Development
Direct Selling",#NoExperienceNeeded
Back End Developer,Double Dot PLT,Ara Damansara,Selangor,Full-Time,2 months ago,RM2800 - RM4000,"Job Purpose
We are seeking to hire a backend developer (NodeJS) to help with the development of backend systems for our applications. Your duties will primarily revolve around building the software from scratch (with guidance from the tech lead), modifying software to fix bugs, and keeping in mind its performance, scalability, and availability of the system. You will also be involved in directing system testing and validation procedures.
Our developers routinely get their hands dirty with new & different technologies, and if that sounds like you, come grow with us.
Duties & Responsibilities","Qualifications
Bachelor’s degree in Computer Science, Computer Engineering, or equivalent professional experience.
Familiarity with NodeJS and MongoDB is a plus.
Familiarity with AWS serverless architecture is a plus.
Experience in version control like GIT.
Being comfortable with Linux, application servers & web servers is a plus.
Knowledge of backend developing & consuming API such as REST is a plus.","
JavaScript (Programming Language)
TypeScript
MongoDB
Postman API Platform
Node.js",10 - 20 Years of Experience
Business Development Executive,AECO TECHNOLOGIES (M) SDN BHD,Cheras,Kuala Lumpur,Full-Time,2 months ago,RM1900 - RM3200,"   - In charge of sales and development of new business opportunities
- Assist in the coordination and implementation of marketing strategies, and delegate tasks to achieve strategic goals
- Monitor and evaluate industry trends and customer drivers, and meet regularly with managers to discuss strategy
- Manage proposal response process, including detailed RFP requirements, content creation, and inputs from various sources","Diploma/ Degree in in any field.
Minimum one (1) year of sales experience, working knowledge/Experience in electronics/consumer products
Fresh graduates are welcomed to apply 
Passionate and enthusiastic for personal and corporate growth
Self-motivated, hardworking and able to handle pressure
Excellent presentation, negotiation and demonstration skills.
Result driven with constant desire to earn high income.
Good written and spoken English and Bahasa Melayu would be an advantage.","
Sales
Business Development
Business Strategies
Product Knowledge",1 - 3 Years of Experience
Business Development Executive,FFF Media Group,Empire Damansara,Selangor,Full-Time,2 months ago,RM2500 - RM5000,"Business Development Executive
Experienced in administrative tasks.
Customer oriented and collaborative.
Savvy in social media and Canva.
Quotations, close deals, manage sales.
Organize shoots, meetings, appointments.
Passionate in giving new ideas. ","Experienced in administrative tasks.
Savvy with social media and Canva, tech savvy.
Previous experience with quotations, closing deals, managing sales.
Proficiency in MS Office, Google Sheets
Solid communication skills in English. 
High school degree, additional qualification as an Admin Assistant or Secretary will be a plus.","
Whatsapp
Canva (Software)
Quotations
Client Services
English Language
Social Media
Sales
Sales Prospecting",#NoExperienceNeeded
Senior Java Developer,Innovation groups,Pasay Philippines,Overseas,Full-Time,,RM3000 - RM7000,"""1、5年以上IT系统研发工作经验，3年以上架构设计工作经验，精通JAVA等编程语言；
2、熟悉软件体系架构、松耦合系统架构，精通微服务架构设计，有实际微服务架构经验；
3、熟悉分布式系统的设计和应用，熟悉常用的分布式缓存、消息队列、等中间件，参与过大型互联网项目；
4、熟悉mysql,redis,ElasticSearch等配置、部署、优化；
5、熟练掌握SpringBoot ，SpringCloud ，naocs 等；","1. Minimum 5 years experience in IT system development, 3 years experience in structure design, proficeient in JAVA and other programming languages
2. Familiar with software architecture, loosely coupled system architecture, familiar with microservice architecture design, have parcatical microservice architecture experience
3. Familiar with the design and application of distributed systems, common distributed cache, message queue, and other middleware, participated in large-scale Internet projects",,#NoExperienceNeeded
Software Developer,ISATEC Sdn. Bhd.,"1 First Avenue, Bandar Utama",Selangor,Full-Time,,RM3800 - RM7500,"To develop, test and deploy modern application software stack based on business and technical requirements.
Ensure the technical feasibility of UI/UX designs.
Develop cross-browser and cross-platform compatible solutions
Implement best practices and design patterns appropriately to ensure high quality software.
Ensure timely completion of assigned deliverables.
Work and contribute positively with Project Managers, Technical Lead and other members of the project team.","  Candidate must possess at least a Bachelor's Degree, Post Graduate Diploma, Professional Degree, Computer Science/Information Technology, Engineering (Computer/Telecommunication), Engineering (Electrical/Electronic), Mathematics, Science &amp; Technology or equivalent.
Travelling may be required as part of the job scope.
Hands on backend development experience with .NET Framework, .NET Core MVC & Entity framework
Hands on Frontend development experience with Bootstrap, JQuery, HTML5, React & Angular.",,1 - 3 Years of Experience
"Senior Executive/ Executive, Leasing",UOA Development Bhd,Bangsar South City,Kuala Lumpur,Full-Time,15 days ago,RM2500 - RM6000,"Market and lease/sell commercial and retail properties owned or developed by the Group.
Develop and maintain good relationship with corporate tenants and property agents.
Prepare and update marketing material for respective properties.
Source for prospective corporate tenants.
Work with building management team to ensure properties are maintained in good and tenantable condition.
Conduct site inspection with prospective tenants and/or property agents.
Collate relevant technical information for prospective tenants.
Negotiate terms with prospective tenants or property agents.","Candidates with minimum 2 years of working experience in leasing retail or office space/property industry are an added advantage 
Diploma/Degree in Marketing, Commerce, Business, or Mass Communication. 
Fresh graduates who have a passion to do leasing are welcome to apply 
Good communication skills in English and Bahasa Malaysia. ",,1 - 3 Years of Experience
Sales Executive (Fresh Graduate Are Welcomed),SkyWorld Development Berhad,Setapak,Kuala Lumpur,Full-Time,15 days ago,Undisclosed,"Job Description:-
Meet and exceed assigned monthly and quarterly personal sales target.
Leads follow up and handling of sales related inquiries or complaints in timely manner.
Build rapport and establish strong relationships with customers.
Prepare and deliver appropriate presentations on company products and services via in person and zoom briefing.
Participating in sales events (including but not limited to exhibitions, road shows & online events) as assigned.
Assist in loan application, and liaise with panel bankers to ensure smooth loan approval process.","Job Requirement:-
Minimum Diploma educational qualification.
Candidates with relevant sales experiences with proven record is an added advantage.
Presentable, fast learner with deep passion for sales and customer service.
Excellent communication/presentation skills and interpersonal skills.
Possess strong influence and negotiation skills.
Positive working attitude and able to work independently with minimum supervision.","
Sales",#NoExperienceNeeded
Business Development Executive,Managepay Systems Berhad,USJ21,Selangor,Full-Time,2 months ago,RM2500 - RM3000,"Undertake daily adminstrative tasks to ensure the functionality and coordination of department activities.
Support marketing executives in organizing various projects.
Conduct market research and analyze consumer rating reports/questionnaires.
Update spreadsheet, databases and inventories with statistical, financial and non-financial information.
Assist in organizing of promotional events and traditional or digital campaigns and attend them to facilitate their success.
Maintain development and support content of ecommerce backend and website.
Received monitor and process daily order from ecommerce.
Communicating with vendors, staff & customers.","Candidate must possess at least degree in Marketing, Business Administration, Masscommunication or equivalent.
Fresh graduates are welcome to apply.
Can work independently in a fast-paced environment with minimal supervision.
Excellent verbal and written communication skills.
Attention to details, ability to prioritze and multi-task.
Good command of English and Bahasa Malaysia.
Knowledgeable in e-Perolehan system and doing tender will be an extra advantage 
Applicant must be willing to work in USJ21, Subang Jaya.","
Microsoft Office
Negotiation
Data Analysis
Project Management",10 - 20 Years of Experience
Sales Development Coordinator,StoreHub,Mutiara Damansara,Selangor,Full-Time,22 days ago,RM3500 - RM4500,"Are you driven, results-oriented and a team player?
With 15,000 customers in over 15 countries, StoreHub's mission is to make business awesome for everyone by providing retail and restaurant businesses the technology and services they need to succeed.
At StoreHub, we believe that technology is essential for businesses to survive and thrive in today's fast-changing world. We also believe that equal access to technology is a fundamental right. That's why we’re committed to bridging this gap and making technology accessible to all, regardless of their background. By focusing on serving needs, not just profit, we level the playing field for those who have been marginalized. Our customers trust us with the success of their businesses, and we play to win by enabling everyone to build successful businesses.","What you will do:
Communicate with customers, make outbound calls to potential customers, and follow up on leads.
Handle and qualify inbound leads in order to set up meetings for sales executives to conduct product demos.
Understand customers' needs and identify sales opportunities.
Answer potential customers' questions and send additional information per email.
Develop a deep understanding of the StoreHub platform to help potential customers understand our products and services.
Keep up with the latest product updates and features.","
Sales
Cold Calling
Business To Business
Inside Sales",1 - 1 Years of Experience
